,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
152,Primaria General - Emperador Cuitlahuac,"Estacion Pantaco Y Manzana 3 S/N, Unidad Cuitlahuac, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.47946600018419,-99.18989400003582,San Francisco Tetecala (Pblo),Primaria
153,Escuela Secundaria Tecnica 74,"Av Juan Alvarez Y Cda Martin Carrera S/N, Campamento 2 De Octubre, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.38557814066,-99.1196075122,Campamento 2 De Octubre Ii,Secundaria
154,Secundaria General - Sor Juana Ines De La Cruz,"Sur 103 No 1034, Aeronautica Militar, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.42260600016,-99.11656200022,El Parque,Secundaria
155,Preescolar General - Amparo Solis Payan,"Laurel No 10, Santa Maria La Ribera, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.45354600094668,-99.15969199930576,Santa Maria La Ribera I,Preescolar
156,Primaria General - Estado De Durango,"Fco Gonzalez Bocanegra No 74, Morelos, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.44616899969259,-99.13444999997988,Morelos Iii,Primaria
157,Primaria General - Rafael Ramos Pedrueza,"Doctor Fortunato 226, Doctores, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.41792300018709,-99.14838299997992,Doctores Ii,Primaria
158,Primaria General Con Servicio Asistencial - Escuela De Participacion Social Numero 6,"Jose Antonio Torres No 745, Asturias, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.40390500004364,-99.13435799997082,Asturias,Primaria
159,Primaria General - Jose Gorostiza,"Felix U Gomez No 36, Guerrero, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.44883800001058,-99.13989700006545,Guerrero I,Primaria
160,Preescolar General Con Servicio Asistencial - Carlota De Gortari Carbajal,"Calle De Chicle No 179, Granjas Mexico, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.401879000061,-99.10729499994,Granjas Mexico I,Preescolar
161,Primaria General - Primaria General,"Prolg Plomeros S/N, Michoacana, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.44783448508,-99.11609683642,Michoacana,Primaria
162,Primaria General - Constituyente Celestino Perez Y Perez,"Av.Sentimiento A La Nacion S/N, Unidad Hab Ermita Zaragoza, Delegacion Iztapalapa, Mexico Df.",Iztapalapa,19.36746600034,-99.00132299984,Ermita Zaragoza (U Hab) Ii,Primaria
163,Primaria General - Tlilalpacatl,"Av. Mexico No.6, Pueblo Aculco, Delegacion Iztapalapa, Mexico Df.",Iztapalapa,19.37172999986,-99.10458900013,Aculco (Pblo),Primaria
164,Secundaria Tecnica Industrial - Escuela Secundaria Tecnica 71,"Av. 414 A Y Calle 1537 Y 1543, U San Juan De Aragon 6A Seccion, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.46656652116,-99.06342504375,San Juan De Aragon 6a Seccion (U Hab) Ii,Secundaria
165,Preescolar General Con Servicio Asistencial - Profra. Ma. Patiño Vda De Olmedo,"Mirador S/N, Ampliacion Tepepan, Delegacion Xochimilco, Mexico Df.",Xochimilco,19.26277199983,-99.13045199992,Tepepan (Ampl),Preescolar
166,Primaria General - Profra. Isabel Robles Espejel,"Av Francisco J Macin S/N, Unidad Hab Ctm, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.5116240001,-99.09905599997,Ctm El Risco (U Hab),Primaria
167,Primaria General - Nepal,"Calle 509 Plaza 3, U San Juan De Aragon, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.454826999551,-99.09609000022,San Juan De Aragon 1a Seccion (U Hab) I,Primaria
