alcaldia,latitud,longitud,alcaldia_id,año
Milpa Alta,19.174927,-98.999789,9,2022
Milpa Alta,19.174927,-98.999789,9,2022
Milpa Alta,19.184083,-99.020332,9,2022
Milpa Alta,19.172989,-98.998796,9,2022
Milpa Alta,19.180951,-99.00973,9,2022
Tlalpan,19.246271,-99.14235,12,2022
Milpa Alta,19.218698,-98.996829,9,2022
Milpa Alta,19.184063,-99.074938,9,2022
Milpa Alta,19.198844,-99.052554,9,2022
Tlalpan,19.246106,-99.142328,12,2022
Milpa Alta,19.195051,-99.087463,9,2022
Milpa Alta,19.191639,-99.006756,9,2022
Milpa Alta,19.194956,-99.087244,9,2022
Milpa Alta,19.203175,-99.015303,9,2022
Tlalpan,19.240338,-99.145769,12,2022
Milpa Alta,19.191991,-99.007037,9,2022
Milpa Alta,19.19987,-99.045001,9,2022
Xochimilco,19.251366,-99.023271,13,2022
Milpa Alta,19.197346,-99.033156,9,2022
Milpa Alta,19.171308,-98.997759,9,2022
Milpa Alta,19.189401,-99.089202,9,2022
Milpa Alta,19.169406,-98.998362,9,2022
Milpa Alta,19.171308,-98.997759,9,2022
Tlalpan,19.265537,-99.201505,12,2022
Tlalpan,19.270865,-99.193916,12,2022
Tlalpan,19.205254,-99.148405,12,2022
